BLOCK_TIMESTAMP_HOUR,BLOCK_NUMBER_MIN,BLOCK_NUMBER_MAX,BLOCK_COUNT,TRANSACTION_COUNT,TRANSACTION_COUNT_SUCCESS,TRANSACTION_COUNT_FAILED,UNIQUE_SIGNERS_COUNT,TOTAL_FEES_NATIVE,TOTAL_FEES_USD,EZ_CORE_METRICS_HOURLY_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2020-10-15 09:00:00.000,41740096,41750633,9013,179947,156544,23403,23,902420000,"null",4c21416b1d5e9bbe025e131eb5e03da3,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 01:00:00.000,41654631,41665378,9522,113689,99228,14461,44,569515000,"null",dcd1953ee3ce463d64a86c023a43dca1,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 06:00:00.000,41708238,41718916,9248,124229,106104,18125,63,623600000,"null",137d572aeb06e2ebf2155de8ef3790bb,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 15:00:00.000,41803688,41814370,9321,118784,103084,15700,31,595185000,"null",d8b3092b27829984facc15cb05397eda,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 20:00:00.000,41856413,41866914,9058,127532,111169,16363,20,638660000,"null",a1f1a568fdb3013ebd868ad042b50cbc,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 22:00:00.000,41877602,41888270,9434,89235,78343,10892,12,446675000,"null",b501464c678ba77b1958e45aa4ddb4bd,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 11:00:00.000,41761254,41771911,9174,109362,95813,13549,17,547745000,"null",994a0f2af678c63435ec3ddc64b55a81,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 23:00:00.000,41888271,41898886,9364,90020,78825,11195,13,450505000,"null",e07d77cea4c52db0f24b489d470acee3,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 05:00:00.000,41697584,41708237,9240,99698,86627,13071,65,500280000,"null",f5ad4fb553cba6f1dd101d53e734084d,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 19:00:00.000,41845816,41856412,9157,124362,109137,15225,17,622940000,"null",20cc894835f16cb5a273440d29d81c2f,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 13:00:00.000,41782479,41793097,9398,134139,116190,17949,30,671785000,"null",ae580a12f0328c54e1101f777ffd130a,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 10:00:00.000,41750634,41761253,9270,127176,111208,15968,18,638275000,"null",604b4be475b1dd63691e59a670872517,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
