BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,INDEX,TX_FROM,TX_TO,AMOUNT,MINT,FACT_TRANSFERS_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
"null",34195817,2vn3V2AxEtR6Nsu6YfQEEB5LXxpsVMsEUFu7vT3kGoWT1ED7Vc7Mjgu7jYxh8VhGJBtmSNrUTrpw2tmEE59E3pWx,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,2.46e-7,So11111111111111111111111111111111111111112,e79e906ec4acf471df265eb7aab37d6c,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36957764,WkUHxogtr6X34u87XvCuKA2mSm1PjKzXVmbWvaZrnTgQALuNRcBghPRH7xXd7mj3Bf1DwtigEee3DTuioavLmqB,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000006728,So11111111111111111111111111111111111111112,feec4fd440ad09709e68e4a8ba612028,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",34412848,2Tn2XGjwKZkxthhcxkZCeBvcW7NcsAvBobG6icG8fLBbUWFT5cE522nifRuNV3Xo2sGNzVCVchTf7rmU8rSkAZ5h,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002172,So11111111111111111111111111111111111111112,16a5f4e6a0e9f8bbe97c6405be36b3c2,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33993784,3acw5osQ3VQmYjqH8zuF5XokTJEpRB56S6SmJKU3BBLA7cQ87DTXVA7LyEYLz5ey2b81amq3k1oCtMMse8Jax22h,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000004949,So11111111111111111111111111111111111111112,9bdceabc87d9ce7e4946929f1bcec670,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35364360,4hFwGouWLgsVpvkt2prpgeSeTDsdqFYRxjvhNJM3qwf3CrJic5X4Go5Pd3GCW1uJBwT4FHh5F9DDjSt3f7u1uRCA,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000001506,So11111111111111111111111111111111111111112,48743e89c3b62f54081b64b754ded4fb,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35898854,4kCcVjH7cu1TPd2ejjL6dkscsF2TqvfiKr6gYwkCHZpjthDRE9tq3iRdcxQFkWnVAPEJFqMjAa5EYSuNkqHsBkyQ,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000003749,So11111111111111111111111111111111111111112,c8e0cb67bf2d311d5c78a714c11f6d5c,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36114892,5G4vcX5eXXVqKDG6UqQLSK97PLjiuNPJrSfzGjfHqge7YJnT7d3ETpqQVKJ2Dy4YkcmeGpXFcuDiCHzxPj4MpqUs,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000003602,So11111111111111111111111111111111111111112,2eed4e0749dbe7ca5a4a27e9c16b556d,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",37085896,2A4PE2uTCGPGBAuotziakUcUR3zK9kTjVM6SHRve9EaDt3S1vACVff5Sv3kgXHQwCGyCxuqfTTpnNGnh2ZPyqxv3,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,9.78e-7,So11111111111111111111111111111111111111112,d8f31ccdac181ff424e899bccc74a3da,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36501223,4E2L6MFSZosRZgELYBm1xaZRUYbpEiCA9zqrLM2H6Ye6NBcEYB6SB5xRCy213bMZj43bF8h49ddBL3MpzpSqjL5C,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002082,So11111111111111111111111111111111111111112,847ada23ab1cf06f6a9e1c5ed57d6ace,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33447904,33sQXXfdJcn2xmkXhkxD2EfFmeDEkrE5UJNmTeWByEe1oYXXUSXwmavXv4v6VVKor3LP5K95Hm3AULe8aZZakKKa,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000004502,So11111111111111111111111111111111111111112,b04097c4426ef8c51c4f0a80c748ef2f,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
